entry_ts,exit_ts,symbol,side,reason,qty,entry_price,exit_price,entry_eff,exit_eff,pnl,return_pct,hold_minutes,mfe,mae,entry_limit
2025-10-13 12:30:00-04:00,2025-10-13 12:37:00-04:00,GWH,long,atr_trail,1,9.99575142857143,10.324188571428571,10.005751428571429,10.314188571428572,0.30843714285714263,3.0825984940661355,7.0,0.95424857142857,-0.24105142857142958,
2025-10-13 12:36:00-04:00,2025-10-13 12:38:00-04:00,GWH,long,atr_trail,1,10.606129142857142,10.253496285714284,10.616129142857142,10.243496285714285,-0.37263285714285743,-3.5100633397397663,2.0,0.34387085714285703,-0.5861291428571427,
2025-10-13 12:57:00-04:00,2025-10-13 12:59:00-04:00,GWH,long,atr_trail,1,13.491285571428572,12.843934857142857,13.501285571428571,12.833934857142857,-0.667350714285714,-4.942867927317696,2.0,0.3787144285714277,-1.641285571428572,
2025-10-13 12:03:00-04:00,2025-10-13 12:05:00-04:00,LITM,long,atr_trail,1,7.3,7.0493307142857144,7.31,7.039330714285715,-0.27066928571428495,-3.702726206761764,2.0,0.1299999999999999,-0.7000000000000002,
2025-10-13 16:02:00-04:00,2025-10-13 16:03:00-04:00,PSIG,long,atr_trail,1,5.604298,6.287654285714286,5.614298,6.277654285714286,0.6633562857142863,11.815480505564292,1.0,1.0957020000000002,-0.45429799999999965,
2025-10-13 16:03:00-04:00,2025-10-13 16:05:00-04:00,PSIG,long,atr_trail,1,6.706496571428572,6.260630142857143,6.716496571428571,6.250630142857143,-0.46586642857142824,-6.936152257609807,2.0,-0.036496571428571656,-1.6764965714285713,
2025-10-13 08:55:00-04:00,2025-10-13 08:58:00-04:00,STI,long,atr_trail,1,11.959261714285715,11.92607642857143,11.969261714285715,11.91607642857143,-0.05318528571428516,-0.4443489246358956,3.0,0.5407382857142853,-0.4289617142857143,
2025-10-13 08:58:00-04:00,2025-10-13 09:00:00-04:00,STI,long,atr_trail,1,12.420753857142858,11.909187428571428,12.430753857142857,11.899187428571429,-0.5315664285714288,-4.276220369901251,2.0,0.07924614285714249,-1.3207538571428579,
2025-10-13 09:19:00-04:00,2025-10-13 09:27:00-04:00,STI,long,atr_trail,1,11.90854242857143,11.678223571428573,11.91854242857143,11.668223571428573,-0.2503188571428563,-2.100247229416119,8.0,0.3714575714285697,-0.58824242857143,
2025-10-13 09:31:00-04:00,2025-10-13 09:33:00-04:00,STI,long,vwap_break,1,13.009686285714286,11.02,13.019686285714286,11.01,-2.0096862857142863,-15.435750459820163,2.0,-0.2596862857142863,-1.9896862857142867,
2025-10-13 10:27:00-04:00,2025-10-13 10:29:00-04:00,STI,long,atr_trail,1,11.902376142857143,11.29948542857143,11.912376142857143,11.28948542857143,-0.6228907142857132,-5.228937592431626,2.0,-0.062376142857143435,-1.1523761428571433,
2025-10-13 12:01:00-04:00,2025-10-13 12:07:00-04:00,STI,long,atr_trail,1,17.442569,16.827730714285714,17.452569,16.817730714285712,-0.634838285714288,-3.637506235983301,6.0,0.5374310000000015,-1.0825689999999994,
2025-10-13 12:32:00-04:00,2025-10-13 12:39:00-04:00,STI,long,atr_trail,1,18.382378714285714,18.58875,18.392378714285716,18.57875,0.18637128571428363,1.013307134490038,7.0,1.2876212857142875,-0.4023787142857138,
2025-10-13 12:33:00-04:00,2025-10-13 12:35:00-04:00,STI,long,atr_trail,1,19.293693,18.685865142857143,19.303693000000003,18.67586514285714,-0.6278278571428615,-3.2523717463951662,2.0,-0.06369300000000067,-1.013693,
2025-10-13 12:48:00-04:00,2025-10-13 13:01:00-04:00,STI,long,atr_trail,1,20.628284857142855,22.05240357142857,20.638284857142857,22.04240357142857,1.4041187142857119,6.803466101979638,13.0,3.5817151428571457,-1.0782848571428545,
2025-10-13 12:51:00-04:00,2025-10-13 13:01:00-04:00,STI,long,atr_trail,1,21.95148485714286,22.05240357142857,21.96148485714286,22.04240357142857,0.0809187142857084,0.36845739171134095,10.0,2.258515142857142,-0.9514848571428587,
2025-10-13 14:10:00-04:00,2025-10-13 14:21:00-04:00,STI,long,atr_trail,1,23.44005242857143,25.396060714285714,23.450052428571432,25.386060714285712,1.93600828571428,8.255880414814998,11.0,3.5599475714285695,-0.02005242857142875,
2025-10-13 14:20:00-04:00,2025-10-13 14:25:00-04:00,STI,long,atr_trail,1,27.0,25.645917857142855,27.01,25.635917857142854,-1.374082142857148,-5.087308933199363,5.0,0.6980000000000004,-3.5299000000000014,
2025-10-13 17:39:00-04:00,2025-10-13 17:41:00-04:00,STI,long,atr_trail,1,21.006288714285713,20.62758157142857,21.016288714285714,20.61758157142857,-0.3987071428571447,-1.8971339244408303,2.0,-0.15628871428571145,-1.5162887142857144,
2025-10-13 19:48:00-04:00,2025-10-13 19:50:00-04:00,STI,long,atr_trail,1,21.104999714285714,20.805293285714285,21.114999714285716,20.795293285714283,-0.3197064285714326,-1.5141199758346602,2.0,-0.10499971428571442,-0.9649997142857138,
2025-10-13 09:50:00-04:00,2025-10-13 09:55:00-04:00,TAOX,long,atr_trail,1,8.25324942857143,8.665357857142856,8.263249428571429,8.655357857142857,0.3921084285714276,4.7452086731843535,5.0,0.5866505714285708,-0.17324942857142922,
2025-10-13 10:02:00-04:00,2025-10-13 10:06:00-04:00,TAOX,long,atr_trail,1,9.185766,8.954183142857142,9.195765999999999,8.944183142857142,-0.2515828571428571,-2.7358553615093872,4.0,-0.025765999999999067,-0.315766,
2025-10-14 16:48:00-04:00,2025-10-14 16:50:00-04:00,AGRI,long,atr_trail,1,4.733130285714286,4.663208571428572,4.743130285714286,4.653208571428572,-0.0899217142857136,-1.8958305774679385,2.0,0.23686971428571368,-0.25313028571428564,
2025-10-14 10:28:00-04:00,2025-10-14 10:30:00-04:00,AQMS,long,atr_trail,1,18.009311,17.71180357142857,18.019311000000002,17.70180357142857,-0.31750742857143166,-1.762039783715541,2.0,0.7405889999999999,-1.4893110000000007,
2025-10-14 11:05:00-04:00,2025-10-14 11:11:00-04:00,AQMS,long,atr_trail,1,18.378111571428573,18.98189285714286,18.388111571428574,18.97189285714286,0.5837812857142843,3.1747756339556066,6.0,1.2418884285714284,-0.22141157142857182,
