symbol,live_idx,bt_idx,entry_delta_s,exit_delta_s,live_entry_ts,bt_entry_ts,live_exit_ts,bt_exit_ts,live_pnl,bt_pnl,pnl_diff,live_side,bt_side,live_qty,bt_qty,live_entry_price,bt_entry_price,live_exit_price,bt_exit_price,live_config,bt_config
AQMS,85,189,72.0,16.0,2025-10-16 09:01:12-04:00,2025-10-16 09:00:00-04:00,2025-10-16 09:01:16-04:00,2025-10-16 09:01:00-04:00,-0.06179999999999808,-0.5167725714285716,0.4549725714285735,long,long,1.0,1,17.2918,17.83677257142857,17.23,17.34,<NA>,<NA>
ELWS,86,190,74.0,389.0,2025-10-16 10:57:14-04:00,2025-10-16 10:56:00-04:00,2025-10-16 11:17:29-04:00,2025-10-16 11:11:00-04:00,0.09460000000000068,1.3372406857142884,-1.2426406857142878,long,long,1.0,1,5.7254,5.7370411428571435,5.82,7.0942818285714315,<NA>,<NA>
ELWS,87,191,74.0,336.0,2025-10-16 11:11:14-04:00,2025-10-16 11:10:00-04:00,2025-10-16 11:17:36-04:00,2025-10-16 11:12:00-04:00,-1.0698999999999996,-0.46179071428571383,-0.6081092857142858,long,long,1.0,1,6.7799,6.638301857142857,5.71,6.196511142857143,<NA>,<NA>
ELWS,88,193,75.0,601.0,2025-10-16 11:27:15-04:00,2025-10-16 11:26:00-04:00,2025-10-16 11:51:01-04:00,2025-10-16 11:41:00-04:00,0.13360000000000039,0.41101828571428634,-0.27741828571428595,long,long,1.0,1,7.0999,7.281133142857143,7.2335,7.7121514285714285,<NA>,<NA>
AQMS,89,195,76.0,741.0,2025-10-16 12:42:16-04:00,2025-10-16 12:41:00-04:00,2025-10-16 12:54:21-04:00,2025-10-16 12:42:00-04:00,0.6229999999999993,-0.2420028571428574,0.8650028571428567,long,long,1.0,1,15.467,15.553702857142857,16.09,15.3317,<NA>,<NA>
AQMS,90,196,78.0,660.0,2025-10-16 12:46:18-04:00,2025-10-16 12:45:00-04:00,2025-10-16 12:57:00-04:00,2025-10-16 12:46:00-04:00,0.8569999999999993,0.026338857142858885,0.8306611428571404,long,long,1.0,1,15.8655,15.703661142857142,16.7225,15.75,<NA>,<NA>
AQMS,91,198,42.0,76.0,2025-10-16 12:55:18-04:00,2025-10-16 12:56:00-04:00,2025-10-16 12:58:16-04:00,2025-10-16 12:57:00-04:00,-0.5898999999999983,-0.1746927142857153,-0.415207285714283,long,long,1.0,1,16.4899,16.65509271428571,15.9,16.5004,<NA>,<NA>
CRMLW,93,199,76.0,80.0,2025-10-16 13:28:16-04:00,2025-10-16 13:27:00-04:00,2025-10-16 13:29:20-04:00,2025-10-16 13:28:00-04:00,-0.07360000000000078,-0.2832557142857137,0.20965571428571295,long,long,1.0,1,12.1837,12.483255714285715,12.1101,12.22,<NA>,<NA>
AQMS,94,200,77.0,328.0,2025-10-16 13:34:17-04:00,2025-10-16 13:33:00-04:00,2025-10-16 13:39:28-04:00,2025-10-16 13:34:00-04:00,-0.5398999999999994,-0.06360600000000005,-0.47629399999999933,long,long,1.0,1,16.71,16.723405999999997,16.1701,16.6798,<NA>,<NA>
ARTV,95,204,68.0,114.0,2025-10-16 17:14:08-04:00,2025-10-16 17:13:00-04:00,2025-10-16 17:16:54-04:00,2025-10-16 17:15:00-04:00,-0.2599,-0.2485807142857137,-0.011319285714286309,long,long,1.0,1,6.23,6.534236714285715,5.9701,6.305656000000001,<NA>,<NA>
ARTV,97,205,79.0,138.0,2025-10-16 17:38:19-04:00,2025-10-16 17:37:00-04:00,2025-10-16 17:43:18-04:00,2025-10-16 17:41:00-04:00,-0.17980000000000018,-0.07567557142857151,-0.10412442857142867,long,long,1.0,1,6.5199,6.5040505714285715,6.3401,6.4483749999999995,<NA>,<NA>
ARTV,98,206,79.0,48.0,2025-10-16 17:52:19-04:00,2025-10-16 17:51:00-04:00,2025-10-16 17:54:48-04:00,2025-10-16 17:54:00-04:00,-0.3497999999999992,-0.19038285714285674,-0.15941714285714248,long,long,1.0,1,6.7399,6.803843428571429,6.3901,6.6334605714285715,<NA>,<NA>
