,ticker,price,trailing_eps,pe,future_price,upside,expected_5y_cagr,avg_roe,avg_retained,eps_cagr,percent_growth,equity,long_term_debt,debt_to_equity,avg_eps,sd_eps,earnings_vol,conservatively_financed,shares_trend,buyback_flag,quality_pass,score
231,IEX,160.5500030517578,6.66,24.1066070648285,342.1294168259313,1.1309835585343229,0.1633650694948594,0.16071164655020684,0.7498286254802699,0.07537818356589554,0.12050619303141255,3794700000.0,1859500000.0,0.490025561968008,6.632000000000001,1.0964925900342417,0.16533362334653823,No,Distributing More,0.0,False,0.5747011952191236
232,BEN,24.639999389648438,0.85,28.988234576056986,88.00824509035753,2.5717632820774687,0.289960861615852,0.09319442401443734,0.6281989684019791,-0.14492255605383608,0.05854464102668616,12508100000.0,12121800000.0,0.9691160128236902,2.054,0.9307760203185297,0.45315288233618783,No,Distributing More,0.0,False,0.571812749003984
233,JBL,214.05999755859375,11.34,18.876542994584987,391.79543984945553,0.8303066631691005,0.12850833782645577,0.3693038620802128,0.869055156004422,1.3690686102687932,0.32094542547315486,1737000000.0,2880000000.0,1.6580310880829014,5.92,3.5540230725193664,0.6003417352228659,No,Distributing More,0.0,False,0.5713147410358566
234,VZ,43.970001220703125,4.15,10.595181017036897,99.32485616132745,1.2589232068194867,0.17701038146642678,0.21348730713195305,0.6239054433456669,-0.008837390775430332,0.13319589300483373,99237000000.0,121381000000.0,1.2231425778691416,4.318,0.8955981241606081,0.20741040392788518,No,Stagnant,0.0,False,0.5676294820717132
235,GIS,49.91999816894531,4.36,11.449540864436997,96.07902735536469,0.9246600737083841,0.13991064004889164,0.2534568436288306,0.658573652237426,0.06691711080020823,0.16691999919320916,9199200000.0,12673200000.0,1.3776415340464387,4.055,0.36513696060519546,0.09004610619117027,No,Distributing More,0.0,False,0.5602589641434264
236,APTV,82.79000091552734,6.97,11.878048911840365,139.44851957750768,0.6843642714751315,0.10990856841142382,0.16478039697813282,0.9565656075673055,0.009173589354091849,0.1576232605505694,8796000000.0,7843000000.0,0.8916552978626648,5.619999999999999,3.277541761747667,0.583192484296738,No,Buy Back,1.0,False,0.557171314741036
237,BR,252.02999877929688,7.17,35.15062744481128,482.0778458527,0.912779622218133,0.13849987501973948,0.2699063180919037,0.6577440125567227,0.10959503234128176,0.17752926467617988,2655200000.0,2753000000.0,1.0368333835492618,5.562,0.9318240177200842,0.16753398376844375,No,Distributing More,0.0,False,0.5570717131474104
238,SCHW,93.54000091552734,3.0,31.18000030517578,181.63208905414638,0.9417584699210328,0.1419288405753445,0.15457154601802733,0.7776321990104601,0.08939508819980158,0.12019981123444512,39184000000.0,22386000000.0,0.5713046141282156,2.808,0.462834743726095,0.16482718793664353,No,Stagnant,0.0,False,0.5566733067729084
239,PFG,82.69999694824219,6.77,12.215656860892496,182.1520928041163,1.2025646859227361,0.17107776275186093,0.17164512286721972,0.7067722299096886,0.07443770147195572,0.12131400624198736,11086400000.0,3955300000.0,0.3567704574974744,7.847999999999999,5.71875301092817,0.7286892215759646,No,Distributing More,0.0,False,0.5561752988047808
240,AXP,325.30999755859375,14.04,23.170227746338586,551.5264686864244,0.6953873930268168,0.11135751329236698,0.25301088653527554,0.6819932840604218,0.38917333789129094,0.17255172541123132,30264000000.0,49715000000.0,1.6427108115252445,9.788,3.359877378714884,0.34326495491570125,No,Buy Back,1.0,False,0.5545816733067729
