symbol,close,high,low,sma50,sma200,atr14,adv20_dollar,vol_ratio20,prox_52w_high_pct,r5,r20,r60,sector,revenue_growth,eps_growth,revenue_ttm,gross_margin,gross_margin_trend,fcf_ttm,fcf_margin,fcf_yield,net_debt,net_debt_to_ebitda,ps_ratio,ev_to_ebitda,inst_percent,inst_trending_up,dilution_rate,market_rel_strength,sector_rel_strength
JCI,124.01,124.81,122.37,116.5102,107.59685000000002,2.5306428571428583,736884284.185,1.1632557408421158,0.6409742809069763,0.060277017783857856,0.020406483995721203,0.026063213635611593,Industrials,,3.238095238095238,23596000000.0,0.36494877367277245,0.0014181525725953104,965000000.0,0.040896762163078484,0.012713707403311732,9501000000.0,2.4761532860239277,3.2167455853534497,22.257839524759376,0.95932996,True,,0.008426919766253205,-0.09482992319107196
JEF,57.92,60.94,56.92,61.0854,57.34235,2.0953571428571434,129730604.176,1.6200359559604427,24.891395967062174,-0.06925919974288919,-0.1018762598852534,0.07398479510476541,Financial Services,,0.4912280701754387,10823677000.0,0.5653819963483748,-0.021514133391613566,-1706984000.0,-0.15770832777068275,-0.1428598232764003,9713726000.0,8.158331870548128,1.103937581285916,18.19373587054477,0.66579,True,,0.05634850123540702,0.026589477843279717
JHG,48.12,48.35,48.085,46.40160000000001,42.26285000000001,0.2635714285714284,64216410.641499996,1.279779497385856,2.6305139619587297,0.0008319467554076532,0.007326774126020341,0.11157311157311156,Financial Services,,2.4025974025974026,2663300000.0,0.6827527127355797,-0.003412292644421888,634000000.0,0.23805053880524163,0.08529065833772374,-645500000.0,-0.6327811197421781,2.7910505493185145,7.286937713147737,0.92695,True,,0.09393681770375317,0.06417779431162587
JHX,23.55,24.06,22.985,21.3438,22.7875,0.6746428571428569,156755705.2095,1.0430124918812442,31.160479391990645,-0.015468227424749181,0.125717017208413,0.27297297297297307,Basic Materials,,-1.5263157894736843,4116900000.0,0.3258783470051076,-0.0535431772348694,299900000.0,0.07284607350190678,0.02195899521420606,4676900000.0,4.516998261541433,3.3173682489251624,17.707333729959437,0.35948002,True,,0.2553366791036147,0.021199890393763687
JKHY,166.16,177.33,165.39,182.35479999999998,171.29247500000002,5.069992857142858,138032477.166,2.3221063598482177,15.22448979591837,-0.07152436298614218,-0.08431610272236312,0.03960457986610755,Technology,,0.4701492537313432,2419045000.0,0.4593679913391176,0.03302072362317321,413176000.0,0.17080128728485827,0.03422016770496708,-16239000.0,-0.024644911728873932,4.991246353829713,18.32402765101122,0.99846,True,,0.02196828599674916,0.04117803873776668
JLL,330.83,355.05,328.75,339.4744,288.019075,10.661807142857137,139499966.982,1.8221421891552685,8.87732055307663,-0.07078055220065727,-0.05249742238515309,0.15023294624852235,Real Estate,,-0.07243460764587514,25317800000.0,,,912000000.0,0.03602208722716824,0.05818132859011379,3053700000.0,2.170979766061926,0.6191348341483067,13.314967123672611,0.94029,True,,0.13259665237916396,0.14834205940593612
JNJ,233.1,235.2,230.48,211.2782,180.48280000000003,4.047207142857145,2112595508.5120003,0.9680264000769275,0.8928571428571405,0.03858492247371226,0.1409133179971611,0.25322580645161286,Healthcare,,-0.5374449339207048,92149000000.0,0.6956195557037469,0.020231479988282897,18679000000.0,0.20270431583630857,0.0332599315029104,27564000000.0,0.8337652828752874,6.0945500088769275,17.82143614796399,0.75427,True,,0.23558951258225447,0.20184434566115647
JPM,314.85,316.25,309.095,313.69620000000003,294.02315,6.172142857142859,3839436763.1120005,1.0265560334639472,6.641957005189022,0.04841663614265257,-0.05744820979523413,0.010170687885010299,Financial Services,,-0.08678500986193301,179430000000.0,,,-119748000000.0,-0.6673800367831466,-0.1397122817145503,193122000000.0,,4.776817246079251,,0.74294,True,,-0.007465605984348089,-0.037224629376475395
KBR,41.63,42.75,41.065,42.5586,47.12085,1.1060714285714286,54944016.659,0.9388781708964704,26.681930257132787,-0.035225955967554956,-0.03701133472125828,-0.026654196866962798,Industrials,,0.5659105263157895,8060000000.0,0.13982392542723976,-0.004061082839512009,499000000.0,0.06191066997518611,0.09303319026889445,2431000000.0,3.5697503671071953,0.6654686332506203,11.445928317180616,1.0102401,True,,-0.044290490736321186,-0.14754733369364637
KD,22.21,22.915,20.6179,25.853399999999997,31.85535,0.9630928571428571,55412476.59200001,2.900482554242535,49.751131221719454,-0.0679815358791438,-0.15487062404870622,-0.15034429992348886,Technology,,-0.6741573033707866,15008000000.0,0.2152647137866165,0.0040775014556023725,242000000.0,0.016124733475479745,0.047139423335845275,2695000000.0,2.0052083333333335,0.3420647164179105,5.824931,0.84621,True,,-0.16798059379284724,-0.14877084105182972
