ticker,equity,earnings,long_term_debt,Concervatively_Financed,Average Annual Compounding Rate,Average Annual Compounding Years,SD of EPS,Shares Outstanding Trend,Percent Rate of Return from Retained Earnings,Average Return on Equity,share_price_for_7_percent_gov_bond,Estimated Initial Return Rate,Percent Annual Growth Rate,Future Equity Per Share,Future Earnings Per Share,Future Stock Price Based On Pe
ROP,17444800000.0,14816300000.0,5830600000.0,Yes,0.8093349841760548,3,13.88897471917924,Stagnant,0.05872255849670251,nan,185.42857142857142,0.023374331557267543,nan,nan,nan,nan
ROST,4871326000.0,3548667000.0,2211017000.0,Maybe,6.528360131931561,3,2.0884488861353536,Stagnant,0.5012179126850289,nan,79.85714285714285,0.03645731385407073,nan,nan,nan,nan
RCL,4724000000.0,-10000000.0,19732000000.0,No,-0.869280685498901,3,12.888362968197319,Stagnant,-0.6664028492283339,nan,94.71428571428571,0.04164572944153694,nan,nan,nan,nan
SPGI,34200000000.0,18728000000.0,11412000000.0,Yes,-0.028509101737130466,3,1.5503608450938124,Stagnant,-0.05197579209683164,nan,117.85714285714285,0.015954668571292997,nan,nan,nan,nan
CRM,59646000000.0,11721000000.0,8427000000.0,Yes,5.904740552401976,3,1.813592774026187,Stagnant,-0.023834196891191754,nan,60.71428571428571,0.01715508156036297,nan,nan,nan,nan
SBAC,-5170882000.0,-7450824000.0,11681170000.0,No,3.3060097843281344,3,1.774633765034352,Stagnant,5.022727272727276,nan,66.28571428571428,0.01981635755263484,nan,nan,nan,nan
SLB,20189000000.0,13497000000.0,10842000000.0,Maybe,-0.05171656628410267,3,4.286314557525905,Stagnant,-2.7182705848051167,nan,42.13534285714285,0.07158917343159697,nan,nan,nan,nan
STX,-1491000000.0,-8960000000.0,5195000000.0,No,-0.18078776484315773,3,3.759900264634688,Stagnant,-1.9541284403669723,nan,nan,nan,nan,nan,nan,nan
SRE,27786000000.0,15732000000.0,27759000000.0,Maybe,0.13613962614234412,3,1.660844570542349,Stagnant,-0.21619856303069895,nan,68.71428571428571,0.057875104857127165,nan,nan,nan,nan
NOW,7628000000.0,2069000000.0,1488000000.0,Yes,1.8522170413622228,3,3.203720493426354,Stagnant,0.663575042158516,nan,121.14285714285714,0.010107149975920864,nan,nan,nan,nan
SHW,3715800000.0,5288300000.0,8377900000.0,No,0.08190571966394533,3,0.8535721954917975,Stagnant,0.08131263839934938,nan,133.57142857142856,0.025931883911998733,nan,nan,nan,nan
SPG,2981728000.0,-6095576000.0,25972828000.0,No,0.30968700020563494,3,1.3913370368102762,Stagnant,-1.4933920704845813,nan,99.71428571428571,0.042413560730107575,nan,nan,nan,nan
SWKS,6082700000.0,5876000000.0,992900000.0,Yes,0.17514827724689389,3,1.609400121163162,Stagnant,0.07011070110701108,nan,88.14285714285714,0.060968381285185114,nan,nan,nan,nan
SJM,7693900000.0,2188100000.0,6773700000.0,No,-3.566635593209942,3,3.4426325319441227,Stagnant,-0.136842105263158,nan,101.99999999999999,0.05900338710813294,nan,nan,nan,nan
SW,6146023323.937434,2877355883.490853,3946277565.909468,Maybe,0.06840849160995288,3,0.4223222164325481,Stagnant,0.034068983343225674,nan,46.34784285714286,0.07188896351017733,nan,nan,nan,nan
SNA,5071300000.0,6948500000.0,1184600000.0,Yes,0.18627818109231895,3,2.790273284106773,Stagnant,0.1851126346718903,nan,272.99999999999994,0.07025993854969746,nan,nan,nan,nan
SOLV,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SO,31444000000.0,12482000000.0,57210000000.0,No,0.10906174203484949,3,0.5083982199024698,Stagnant,0.4630872483221478,nan,52.0,0.04065222205474402,nan,nan,nan,nan
LUV,10515000000.0,16297000000.0,7903000000.0,Maybe,-0.6315502716238011,3,2.857013300634073,Stagnant,-1.9559748427672956,nan,11.142857142857142,0.026165716671385453,nan,nan,nan,nan
SWK,9056100000.0,8540200000.0,6101000000.0,Maybe,-0.42351471739097263,3,4.755362762187549,Stagnant,-0.8778761061946903,nan,-29.571428571428566,-0.0210451401703443,nan,nan,nan,nan
SBUX,-7994800000.0,-7255800000.0,13547600000.0,No,1.1877252969488865,3,1.1424999332672574,Stagnant,0.8966215006210372,nan,51.42857142857142,0.03934426229508197,nan,nan,nan,nan
STT,21823000000.0,27957000000.0,15480000000.0,Maybe,-0.028671941642832044,3,0.6858707968706641,Stagnant,-0.04327755337564916,nan,80.71428571428571,0.06634569935456544,nan,nan,nan,nan
STLD,8866666000.0,13545590000.0,2611069000.0,Yes,1.682252050488694,3,6.744295737881012,Stagnant,0.24734477124183013,nan,210.28571428571428,0.13250518035150297,nan,nan,nan,nan
STE,6302164000.0,2087645000.0,3120162000.0,Maybe,0.5146399796772424,3,1.3618461733984495,Stagnant,-0.16566866267465072,nan,54.71428571428571,0.01597697305396654,nan,nan,nan,nan
